"","Country","Healthexp.GDP","Healthexppercap","LifeExp","Airpassengers","MobileCellSubs","InternetUsersPer100","FixedBroadSubs","AgricultureLand.area","C02emKgper2010USofGDP","CerealProdM3tons","CaptureFishprodM3tons","ForestArea.area","PopDensityperSqKmland","Urbanpop.total","TotalPopulation","Adolesfertilityper1000","FoodprodIndex","CompulsoryEdYears","GDPperCapCurrUS.","IntTourismArrival","IntTourismExp","Unemployment.rate","Olympics","Nuclear","Flag Colours","Official Languages","Coastline","Continent"
"1","Afghanistan",2.65,156.53,60.03,2044188,16807156,5.9,1500,58.07,1.08,6520329,1000,2.07,47,25.87,30682500,82.26,119.84,9,653.35,671828,1.32e+08,9.199999809,"N","N","multicolour","medium","N","Asia"
"2","Albania",2.84,564.07,77.64,865848,3685983,57.2,182556,43.33,0.38,702870,5370.5,28.23,105.72,55.38,2896652,21.14,127.86,9,4412.35,2857000,1.48e+09,16,"N","N","two-colour","low","Y","Europe"
"3","Algeria",5.19,858.86,74.57,4492436.96,39517045,16.5,1280000,17.4,0.76,4912551,100058,0.81,16.03,69.51,38186135,11.11,157.54,10,5491.61,2733000,4.71e+08,9.800000191,"N","N","tricolour","medium","Y","Africa"
"4","Andorra",9.69,5564.65,79.5678000000001,22541200.9375,63931,94,27734,44.26,0.16,2285478.94,332864.863,34.04,161.49,86.17,75902,20.8928,98.1405,10,42804.2,2328000,6360964000,8.42699996763,"N","N","multicolour","low","N","Europe"
"5","Angola",3.08,301.99,51.87,1321872,13285198,8.9,75360,47.48,0.34,1675342,406000,46.61,18.81,42.49,23448202,171.27,213.39,6,5327.15,650000,1.66e+08,6.900000095,"N","N","tricolour","low","Y","Africa"
"6","Antigua and Barbuda",3.59,1121.23,75.78,1218000,114358,63.4,15647,20.45,0.45,80,4605,22.27,204.51,24.64,89985,47.46,88.9,11,13342.08,243000,5e+07,10.92600007747,"N","N","multicolour","low","Y","Northern America"
"7","Argentina",2.74,1174.49,75.99,11951276.82,67361515,59.9,6251020,54.52,0.41,51792609,870705,10.12,15.54,91.45,42538304,63.91,118.41,14,13027.2,5246000,5.57e+09,7.099999905,"N","N","tricolour","low","Y","South America"
"8","Armenia",1.95,352.26,74.56,45000,3346275,41.9,243058,59.08,0.51,543659,4029,11.65,105.1,62.98,2992192,24.56,129.22,11,3716.83,1084000,9.3e+08,16.20000076,"N","N","tricolour","low","N","Asia"
"9","Australia",6.27,4259.1,82.15,68197955,24940000,83.45,5981000,51.63,0.3,35597663,158704.5,16.16,3.01,89.15,23117353,14.97,119.52,10,67652.68,6382000,2.86e+10,5.699999809,"Y","N","tricolour","low","Y","Australia"
"10","Austria",8.37,4889.15,81.14,15037454,13272000,80.62,2232500,32.91,0.15,4858249,350,46.84,102.74,65.88,8479375,7.97,101.96,9,50504.72,24813000,1.03e+10,4.900000095,"Y","N","two-colour","low","N","Europe"
"11","Azerbaijan",1.15,948.95,70.69,1651710,10130102,73,1712177,57.7,0.62,2856572,796,13.15,113.92,54.1,9416801,56.13,139.8,9,7811.62,2130000,2.88e+09,5,"N","N","multicolour","low","Y","Asia"
"12","Bahamas, The",3.08,1637.04,75.07,576996,287000,72,157011.94,1.4,0.38,700,12765,51.45,37.75,82.73,377841,32.35,133.85,11,22554.45,1364000,2.62e+08,16.20000076,"N","N","tricolour","low","Y","Northern America"
"13","Bahrain",3.02,2028.71,76.55,4626648,2210190,90,300056,11.17,1.11,4401693.65,14976,0.74,1752.5,88.67,1349427,13.66,206.83,9,24113.52,9163000,7.13e+08,3.700000048,"N","N","two-colour","low","Y","Asia"
"14","Bangladesh",0.81,84.68,71.25,2781708,116553076,6.63,1525325,69.97,0.5,54253412,1550446,11.02,1207.32,32.75,157157394,84.43,135.36,5,954.4,148000,3.5e+08,4.5,"N","N","two-colour","low","Y","Asia"
"15","Barbados",4.9,1013.73,75.33,2143934.972,307708,71.8,67798,32.56,0.32,340,2988,14.65,656.98,31.65,282503,44.41,97.17,11,15473.1,509000,4.3e+07,11.60000038,"N","N","tricolour","low","Y","Northern America"
"16","Belarus",4.02,1068.23,72.47,1159500,11114440,54.17,2785842,43,1.06,7233152,697,42.35,46.65,75.88,9466000,20.13,125.89,9,7722.12,137000,1.15e+09,6,"N","N","tricolour","medium","N","Europe"
"17","Belgium",8.23,4264.19,80.59,9521421,12315217,82.17,3828918,44.14,0.19,3097497,25662,22.54,369.31,97.78,11182817,8.7,101.79,12,46508.12,7684000,2.19e+10,8.399999619,"Y","N","tricolour","medium","Y","Europe"
"18","Belize",3.78,477.19,69.98,513175.6,174615,33.6,9900,7.01,0.34,111934,34672,60.34,15.09,44.3,344193,68.21,102.17,8,4723.59,294000,4e+07,11.69999981,"N","N","multicolour","low","Y","Northern America"
"19","Benin",2.22,82.24,59.31,137640,9627447,4.9,42477,33.26,0.72,1636242,42416,39.12,91.54,43.09,10322232,87.41,151.6,6,887.09,231000,3.9e+07,1,"N","N","tricolour","low","Y","Africa"
"20","Bhutan",2.8,283.03,69.1,207996,544337,22.4,20481,13.63,0.48,159723,3,71.75,19.8,37.14,754637,25.21,97.13,8.4,2383.04,116000,6.4e+07,2.900000095,"N","N","tricolour","low","N","Asia"
"21","Bolivia",4.24,382.11,67.91,2027888,10425704,36.99,154098,34.73,0.85,2144953,7171,51.09,9.6,67.7,10399931,71.86,135.52,14,2948.03,798000,5.21e+08,2.599999905,"N","N","tricolour","high","N","South America"
"22","Bosnia and Herzegovina",6.63,919.17,76.28,15000,3488319,57.79,516104,42.15,1.25,1222498,305,42.68,74.68,39.49,3823533,10.06,116.98,9,4748.04,529000,1.33e+08,27.39999962,"N","N","tricolour","medium","Y","Europe"
"23","Botswana",3.51,893.17,64.36,270996,3246787,15,21590,45.66,0.35,19366,431,19.49,3.84,56.94,2176510,36.32,129.96,8.76,6806.66,1544000,4.7e+07,17.60000038,"N","N","tricolour","low","N","Africa"
"24","Brazil",3.83,1334.1,74.12,95591641,271099799,51.04,21360635,33.36,0.21,100901726,765286,59.28,24.44,85.17,204259377,67.88,136.65,14,12071.78,5813000,2.5e+10,6.5,"N","N","multicolour","low","Y","South America"
"25","Brunei Darussalam",2.41,1903.79,78.55,1139784,468814,64.5,27557,2.73,0.55,1850,2826,72.11,78.08,76.56,411499,21.45,167.24,9,43970.53,225000,2985858000,3.799999952,"N","N","multicolour","low","Y","Asia"
"26","Bulgaria",4.12,1270.51,74.86,1013220,10486824,53.06,1421552,46.01,0.76,9153930,9670,34.9,66.92,73.3,7265115,40.34,120.44,11,7674.86,6898000,1.11e+09,12.89999962,"N","N","tricolour","low","Y","Europe"
"27","Burkina Faso",3.49,96.72,58.24,138996,11240886,9.1,12962,44.96,0.28,4869722,20500,19.99,62.44,28.19,17084554,112.66,123.92,10,698.34,218000,1.44e+08,3.299999952,"N","N","tricolour","low","N","Africa"
"28","Burundi",4.4,60.26,56.25,1989555.2697,2536831,1.26,1534,79.17,0.13,254753,13232,10.39,407.55,11.47,10465959,29.46,144.81,7.61,259.37,473355,3.4e+07,7,"N","N","tricolour","medium","N","Africa"
"29","Cabo Verde",3.12,271.89,72.97,6e+05,499458,37.5,21212,20.84,0.25,5785,35979,21.83,125.87,64.13,507258,74.15,88.62,10,3648.94,503000,1.19e+08,9,"N","N","multicolour","low","Y","Africa"
"30","Cambodia",1.4,182.6,67.77,615123.33,20264514,6.8,32648,30.9,0.4,10317000,639468,55.02,85.42,20.32,15078564,49.93,180.95,7.87,1024.61,4210000,3.55e+08,0.300000012,"N","N","tricolour","low","Y","Asia"
"31","Cameroon",1.01,121.73,55.04,287208,15664666,11.0521,16900,20.63,0.25,3088980,210000,40.74,46.99,53.25,22211166,111.35,160.17,6,1331.2,912000,6.12e+08,4.099999905,"N","N","tricolour","medium","Y","Africa"
"32","Canada",7.58,4623.25,81.77,71526725.92,28360000,85.8,12094461,7.19,0.27,66405300,866924,38.18,3.87,81.47,35155499,10.71,115.42,10,52266.18,16059000,3.52e+10,7.099999905,"Y","N","two-colour","medium","Y","Northern America"
"33","Central African Republic",1.91,22.6,49.88,397739.0423,1360300,3.5,28902.76,8.15,0.22,266300,30000,35.64,7.56,39.5,4710678,95.78,121.47,7,322.37,704980,225218000,7.400000095,"N","N","multicolour","low","N","Africa"
"34","Chad",1.77,70.8,51.19,28080,4561243,2.3,14689,39.66,0.05,2561000,120000,4.07,10.44,22.23,13145788,144.59,120.13,10,985.1,1e+05,125206000,7.099999905,"N","N","tricolour","medium","N","Africa"
"35","Chile",3.63,1663.51,81.2,13806283,23661339,58,2295169,21.22,0.33,4004023,2288874,23.04,23.64,89.18,17575833,48.71,117.38,13,15764.76,3576000,1.87e+09,6,"N","N","tricolour","low","Y","South America"
"36","China",3.01,654.37,75.59,352795296,1229113000,45.8,188909000,54.81,1.32,552692092,16557948.3,21.86,144.58,53.17,1357380000,7.43,129.46,9,7077.77,55686000,1.29e+11,4.599999905,"Y","Y","two-colour","low","Y","Asia"
"37","Colombia",5.22,869.86,73.81,26929238,50295114,51.7,4537621,40.39,0.27,3820036,68914,52.78,42.67,75.88,47342363,54.67,116.57,10,8030.69,2288000,3.94e+09,9.600000381,"N","N","tricolour","low","Y","South America"
"38","Comoros",2,95.33,62.93,1434774.7415,347500,6.5,1300,71.47,0.28,36800,43732,20.31,403.92,28.1,751697,72,112.92,6,823.02,372573,82862000,6.5,"N","N","multicolour","medium","Y","Africa"
"39","Congo, Dem. Rep.",1.32,27.04,58.27,456000,28231900,2.2,450,11.56,0.11,1793750,227414,67.58,32,41.46,72552861,123.62,117.1,6,413.7,191000,1.7e+08,8.199999809,"N","N","multicolour","low","Y","Africa"
"40","Congo, Rep.",4.06,302.6,61.67,652452,4659762,6.6,438,31.12,0.19,31650,73117,65.49,12.87,64.53,4394334,122.35,136,10,3205.46,343000,2.36e+08,6.599999905,"N","N","multicolour","low","Y","Africa"
"41","Costa Rica",6.91,1359.44,79.23,1498996,7111981,45.96,484883,35.48,0.18,238539,19508,52.79,92.17,74.96,4706433,58.05,123.51,11,10547.21,2428000,4.25e+08,8.5,"N","N","tricolour","low","Y","Northern America"
"42","Cote d'Ivoire",1.8,176.13,51.21,234996,19390902,8.4,56281,64.78,0.31,2712481,75658,32.71,68,52.77,21622490,135.3,125.75,8.27,1445.91,380000,3.81e+08,4.099999905,"N","N","tricolour","low","Y","Africa"
"43","Croatia",6.4,1666.06,77.13,1716702,4721015,66.75,954720,28.01,0.31,3189777,75831.34,34.33,76.05,58.36,4255689,10.68,98.17,8,13574.98,10948000,9.03e+08,17.29999924,"N","N","multicolour","low","Y","Europe"
"44","Cuba",8.96,1993.46,79.26,1395072,1995698,27.93,5360,60.85,0.56,1104303,22103,29.68,109.02,76.87,11362505,47.23,103.21,9,6789.85,2829000,2200927000,3.200000048,"N","N","tricolour","low","Y","Northern America"
"45","Cyprus",3.47,2112.02,79.95,1211208,1099621,65.45,229195,11.62,0.25,51923,1186,18.7,123.56,67.13,1141652,5.28,81.4,9,27907.97,2405000,1.24e+09,15.80000019,"N","N","tricolour","medium","Y","Asia"
"46","Czech Republic",6.31,2064.43,78.18,5186676,13719300,74.11,2856168,54.63,0.47,7517761,3761,34.48,136.14,73.06,10514272,10.58,92.29,9,19916.02,10300000,4.64e+09,7,"N","N","tricolour","low","N","Europe"
"47","Denmark",9.59,4858.2,80.3,48800474.2559,7031152,94.63,2272401,61.74,0.12,9119687,668480,14.25,132.88,87.32,5614932,4.28,102.62,10,60361.74,8557000,1.01e+10,7,"N","N","two-colour","low","Y","Europe"
"48","Djibouti",5.32,276.73,61.69,1522865.3024,244123,9.5,17705,73.43,0.47,16,1702,0.24,37.3,77.19,864554,22.47,134.4,10,1682.95,63000,19200000,11.66300010995,"N","N","multicolour","medium","Y","Africa"
"49","Dominica",3.81,577.12,72.4839,1066939.2715,93575,51,10667,33.33,0.27,200,547,58.48,96.01,68.97,72005,41.5386,110,11,7061.28,78000,1.3e+07,10.64000000961,"N","N","multicolour","low","Y","Northern America"
"50","Dominican Republic",2.62,507.68,73.32,20004,9200410,45.9,526705,48.69,0.37,772950,13188,39.67,212.82,77.08,10281408,99.53,135.52,15,6026.99,4690000,3.78e+08,15,"N","N","tricolour","low","Y","Northern America"
"51","Ecuador",3.86,797.4,75.65,5157521,16626199,40.28,1058453,30.25,0.52,3102798,514625,51.16,63.06,63.3,15661312,76.75,115.47,15,6074.18,1364000,6.21e+08,4.199999809,"N","N","tricolour","low","Y","South America"
"52","Egypt, Arab Rep.",2.06,567.17,70.93,10593780.18,99704976,29.4,2676263,3.78,0.92,24121844,356858,0.07,88.01,43.03,87613909,53.54,118.73,9,3264.45,9174000,3.01e+09,13.19999981,"N","N","multicolour","low","Y","Africa"
"53","El Salvador",4.63,561.48,72.5,2509003,8991899,23.11,284428,76.35,0.28,1043725,53381,13.21,293.9,65.78,6089644,66.2,112.51,12,3998.74,1283000,2.42e+08,5.900000095,"N","N","two-colour","low","Y","Northern America"
"54","Equatorial Guinea",2.96,1196.14,57.29,401712,510783,16.4,3518,10.12,0.3,589864.6,8500,56.73,28.42,39.6,797082,112.06,118.16,6,27528.66,1077258,851877000,7,"N","N","multicolour","medium","Y","Africa"
"55","Eritrea",1.38,45.63,63.18,872963.5925,354844,0.9,146,75.17,0.4551,265000,4000,15.04,49.49,35.2341,6905810.44,58.34,110.65,7.91,1844.346,804566,130364000,7.199999809,"N","N","multicolour","medium","Y","Africa"
"56","Estonia",5.14,1660.09,77.14,627588,2055234,79.4,360948,22.77,0.9,975500,69673,52.67,31.09,67.72,1317997,14.9,133.76,9,19029.78,2873000,1.06e+09,8.600000381,"N","N","tricolour","low","Y","Europe"
"57","Ethiopia",2.95,71.3,63.44,5671501,25646865,4.6,238067,36.26,0.27,21575457,38371,12.42,94.56,18.59,94558374,63.63,147.46,7.92,503.9,681000,1242890000,5,"N","N","multicolour","high","N","Africa"
"58","Fiji",2.9,330.6,69.92,1161936,930406,37.1,10927,23.26,0.49,5834,42863,55.14,48.19,52.98,880487,43.66,85.81,9.41,4758.89,658000,9.6e+07,8.300000191,"N","N","multicolour","medium","Y","Australia"
"59","Finland",7.2,3653.77,80.98,10467321,7411200,91.51,1720200,7.43,0.19,4065300,167853,73.11,17.9,83.95,5438972,6.96,96.23,10,49638.08,7476800,5.29e+09,8.199999809,"Y","N","two-colour","medium","Y","Europe"
"60","France",8.91,4369.93,82.22,63925151,63324000,81.92,24940000,52.55,0.12,67496281,566108.1,30.61,120.48,79.06,65972097,9.28,98.64,11,42571.2,83634000,4.29e+10,10.39999962,"Y","Y","tricolour","low","Y","Europe"
"61","Gabon",2.93,671.06,63.84,0,2745229,9.2,8900,20.03,0.28,46700,36600,87.71,6.4,86.66,1650351,106.71,120.91,10,10658.77,1176984,580975000,20.29999924,"N","N","tricolour","medium","Y","Africa"
"62","Gambia, The",4.18,106.83,60,146784,1848854,14,438,59.78,0.49,227693,43726,47.91,184.47,58.37,1866878,114.7,97.36,9,484.11,171000,90708500,7,"N","N","multicolour","medium","Y","Africa"
"63","Georgia",1.28,570.3,74.51,189316,4993119,43.3,516931,36.72,0.55,487900,12070,40.62,66.06,53.31,3776000,43.93,86.89,9,4274.38,5392000,2.94e+08,14.60000038,"N","N","two-colour","low","Y","Asia"
"64","Germany",8.57,4837.27,80.84,109062321.5,100034000,84.17,28641961,47.86,0.21,47757100,235107,32.72,231.16,74.89,82132753,7.49,107.37,12,45688.39,31545000,9.13e+10,5.300000191,"Y","N","tricolour","low","Y","Europe"
"65","Ghana",3.24,180.32,61.14,396372,28026482,12.3,68795,69,0.34,2745913,301950,40.78,114.99,52.74,26164432,68.88,143.71,11,1827.1,994000,4.73e+08,1.799999952,"N","N","multicolour","low","Y","Africa"
"66","Greece",6.07,2357.08,81.29,8761116,12999790,59.87,2913191,63.66,0.28,4896899,64169.2,30.98,85.07,77.34,10965211,8.1,87.84,9,21874.82,17920000,2.44e+09,27.20000076,"Y","N","two-colour","low","Y","Europe"
"67","Grenada",2.78,716.5,73.19,1096303.1791,133000,35,18000,23.53,0.39,400,2695,49.97,311.48,35.58,105902,33.43,96.29,12,7956.14,116000,1.1e+07,9.69600011081,"N","N","tricolour","low","Y","Northern America"
"68","Guatemala",2.32,452.93,71.49,78264,21716357,19.7,352826,34.72,0.3,1877295,21986,33.71,146.42,50.66,15690793,82.72,151.25,10,3432.02,1331000,7.25e+08,3,"N","N","two-colour","high","Y","Northern America"
"69","Guinea",2.38,67.66,58.22,547352.7592,7436471,1.6,800,59.01,0.44,3435760,155961,26.19,48.63,36.21,11948726,143.77,123.52,6,521.54,56000,5e+07,1.700000048,"N","N","tricolour","low","Y","Africa"
"70","Guinea-Bissau",1.63,102.48,54.84,429788.4751,939909,3.1,1452,57.97,0.28,264189,6707,70.84,62.49,47.75,1757138,95.24,140.74,9,584.28,253555,27200000,6.800000191,"N","N","multicolour","low","Y","Africa"
"71","Guyana",2.9,350.49,66.31,0,555035,35,36900,8.53,0.74,827800,49268,84.05,3.87,28.38,761033,89.26,129.94,6,3928.88,158000,8.1e+07,11.10000038,"N","N","multicolour","low","Y","South America"
"72","Haiti",1.72,136.42,62.4,681346.4297,7160200,10.6,24023.4600000001,66.76,0.32,613318,16510,3.58,378.49,56.17,10431249,40.47,121.01,6,810.31,420000,6.2e+07,6.800000191,"N","N","tricolour","medium","Y","Northern America"
"73","Honduras",4.46,405.13,72.94,372972,7767235,17.8,68991,28.91,0.52,686727,11849,43.19,70.15,53.54,7849059,67.05,118.59,12,2340.68,863000,4.04e+08,3.900000095,"N","N","two-colour","low","Y","Northern America"
"74","Hungary",4.91,1766.79,75.57,13926540,11590326,72.64,2597159,58.99,0.31,13609910,6472,22.75,109.28,70.31,9893082,18.72,88.77,8,13613.6,10624000,1.91e+09,10.19999981,"N","N","tricolour","low","N","Europe"
"75","Iceland",7.07,3697.47,82.06,2602714,356264,96.55,117467,18.68,0.14,4458644.69,1383843,0.46,3.23,93.94,323764,7.31,114.21,10,47493.25,807000,8.5e+08,5.599999905,"N","N","tricolour","low","Y","Europe"
"76","India",1.29,240.12,67.66,75589071,886304245,15.1,14927670,60.41,1.02,293940000,4645182,23.65,430.35,31.99,1279498874,28.06,138.76,8,1456.2,6968000,1.16e+10,3.599999905,"N","Y","multicolour","low","Y","Asia"
"77","Indonesia",1.15,292.45,68.7,81721356,313226914,14.94,3251800,31.46,0.53,89791565,6056193,50.99,138.7,52.25,251268276,50.75,137.48,9,3631.67,8802000,7.68e+09,6.300000191,"N","N","two-colour","low","Y","Asia"
"78","Iran, Islamic Rep.",2.73,1045.01,75.13,16580818.01,65246219,29.95,5161156,28.3,1.39,16428457,559162,6.56,47.37,72.32,77152445,27.86,113.29,8,6631.3,4769000,7.26e+09,12.89999962,"N","N","tricolour","low","Y","Asia"
"79","Iraq",3.72,774.4,69.18,476484,32450000,9.2,793454.31,21.26,0.93,6500674,56853,1.9,78.53,69.26,34107366,81.62,126.07,6,6879.7,892000,695312000,15.10000038,"N","N","multicolour","medium","Y","Asia"
"80","Ireland",5.33,3761.84,81,93408036,4880792,78.25,1189212,64.99,0.16,2402700,275950,10.78,66.75,62.67,4598294,11.45,99.15,10,52034.77,8260000,6.11e+09,13.10000038,"N","N","tricolour","medium","Y","Europe"
"81","Israel",4.86,2571.89,82.06,5565864,9500000,70.25,2003000,24.04,0.27,310253,1983,7.42,372.44,92.01,8059500,10.81,110.2,13,36393.67,2962000,3.96e+09,6.300000191,"N","Y","two-colour","low","Y","Asia"
"82","Italy",6.97,3257.47,82.69,27846220,96863107,58.46,14012976,46.34,0.17,18214664,177917.7,31.24,204.78,68.69,60233948,6.23,94.8,12,35370.27,47704000,2.7e+10,12.19999981,"Y","N","tricolour","low","Y","Europe"
"83","Jamaica",3.38,514.1,75.49,46272,2846196,37.1,140816,41,0.58,3007,17913,31.02,256.07,54.34,2714669,62.33,106.08,6,5259.04,2008000,1.73e+08,15,"N","N","tricolour","low","Y","Northern America"
"84","Japan",8.53,3713.13,83.33,107573000,147887593,88.22,36724828,12.45,0.21,11786590,3740753.43,68.47,349.29,92.49,127338621,4.35,97.94,9,40488.24,10364000,2.19e+10,4,"Y","N","two-colour","low","Y","Asia"
"85","Jordan",4.87,763.08,73.9,3294911,10313976,41.4,328382,11.9,0.87,103147,760,1.1,81.27,83.21,7214832,24.88,136.66,10,4656.22,3945000,1.1e+09,12.60000038,"N","N","multicolour","low","Y","Asia"
"86","Kazakhstan",2.19,994.25,70.45,4785588,30364900,63,1958823,80.38,1.49,18156780,34692,1.23,6.31,53.36,17035275,29.98,125.45,10,13890.86,4926000,1.6e+09,5.199999809,"N","N","two-colour","medium","Y","Asia"
"87","Kenya",3.35,158.04,60.95,4516500,31830003,39,74144,48.55,0.28,4536942,163302,7.63,76.77,24.78,43692881,92.84,122.89,12,1261.09,1434000,2.33e+08,9.100000381,"N","N","multicolour","medium","Y","Africa"
"88","Kiribati",8.23,177.7,65.77,8824265.3654,20000,11.5,700,41.98,0.36,1148369.55,81531,15,134,44.06,108544,19.55,120.81,9,1724.22,5900,11400000,9.35700001422,"N","N","multicolour","low","Y","Australia"
"89","Korea, Rep.",3.91,2380.22,81.71,54530105,54680840,84.77,18737514,18.15,0.5,5810083,1601804,63.6,515.25,82.25,50219669,1.73,104.03,9,25997.88,12176000,2.16e+10,3.099999905,"N","N","multicolour","low","Y","Asia"
"90","Kuwait",2.17,1968.3,74.47,3244805,6410000,75.46,47000,8.62,0.72,33254,4633,0.35,201.67,98.31,3593689,10.85,170.19,9,48463.15,307000,9.65e+09,3.200000048,"N","N","multicolour","low","Y","Asia"
"91","Kyrgyz Republic",3.88,214.33,70.2,771165,6737487,23,136200,55.04,1.75,1728265,120,3.4,29.82,35.48,5719600,40.8,112.19,9,1282.44,3076000,3.5e+08,8.300000191,"N","N","two-colour","medium","N","Asia"
"92","Lao PDR",0.96,95.39,65.69,1476528,4612612,12.5,9025,10.12,0.24,4628645,40165,79.65,28.51,36.47,6579985,65.35,152.89,5,1700.53,2700000,3.98e+08,1.299999952,"N","N","tricolour","low","N","Europe"
"93","Latvia",3.54,894.62,73.98,2754720,2558000,75.23,496000,30.18,0.26,1948800,116074,53.95,32.36,67.48,2012647,14.67,120.74,11,15033.15,1536000,7.15e+08,11.89999962,"N","N","two-colour","low","Y","Europe"
"94","Lebanon",3.05,1033.01,79.13,2241480,3884757,70.5,480000,64.32,0.56,178745,3100,13.41,516.81,87.55,5286990,13.13,96.08,9,8388.97,1274000,4.39e+09,6.199999809,"N","N","tricolour","low","Y","Asia"
